0,1,2
"Total amounts presented in the Consolidated Statements
of Income in which the effects of cash flow and fair value
hedges are recorded", 65118  2033  69092  902,
,,
"Gains Losses on Derivatives in Cash Flow Hedging
Relationship:",,
Foreign exchange contracts,,
"Amount of gains losses reclassified from AOCI to
income", 65  0  658  0,
"Amount excluded from the assessment of
effectiveness recognized in earnings based on an
amortization approach",3 0 20 0,
"Gains Losses on Derivatives in Fair Value Hedging
Relationship:",,
Foreign exchange contracts,,
Hedged items,0 69 0 226,
Derivatives designated as hedging instruments,0 69 0 226,
"Amount excluded from the assessment of
effectiveness",0 2 0 6,
"Gains Losses on Derivatives in Net Investment Hedging
Relationship:",,
Foreign exchange contracts,,
"Amount excluded from the assessment of
effectiveness",,
"Gains Losses on Derivatives Not Designated as
Hedging Instruments:",,
Foreign exchange contracts,0 148 0 495,
Other Contracts,0 88 0 34,
Total gains losses, 62  215, 638  396
